player,season,team,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Jonny Evans,2015-2016,West Brom,30,30,2590,28.8,1,1,2,1,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0.03,0.03,0.07,0.03,0.07,0.0,0.0,0.0,0.0,0.0
Łukasz Fabiański,2015-2016,Swansea City,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cesc Fàbregas,2015-2016,Chelsea,37,33,2895,32.2,5,7,12,3,2,2,5,0,0.0,0.0,0.0,0.0,0,0,0.16,0.22,0.37,0.09,0.31,0.0,0.0,0.0,0.0,0.0
Radamel Falcao,2015-2016,Chelsea,10,1,237,2.6,1,0,1,1,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.38,0.0,0.38,0.38,0.38,0.0,0.0,0.0,0.0,0.0
Adam Federici,2015-2016,Bournemouth,6,6,495,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marouane Fellaini,2015-2016,Manchester Utd,18,12,1068,11.9,1,0,1,1,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.08,0.0,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0
Leroy Fer,2015-2016,Swansea City,11,9,756,8.4,0,2,2,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.24,0.24,0.0,0.24,0.0,0.0,0.0,0.0,0.0
Federico Fernández,2015-2016,Swansea City,32,32,2880,32.0,1,1,2,1,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.03,0.03,0.06,0.03,0.06,0.0,0.0,0.0,0.0,0.0
Fernandinho,2015-2016,Manchester City,33,31,2729,30.3,2,2,4,2,0,0,8,0,0.0,0.0,0.0,0.0,0,0,0.07,0.07,0.13,0.07,0.13,0.0,0.0,0.0,0.0,0.0
Fernando,2015-2016,Manchester City,24,17,1715,19.1,2,0,2,2,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
Sam Field,2015-2016,West Brom,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roberto Firmino,2015-2016,Liverpool,31,24,1972,21.9,10,7,17,10,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.46,0.32,0.78,0.46,0.78,0.0,0.0,0.0,0.0,0.0
Mathieu Flamini,2015-2016,Arsenal,16,12,1089,12.1,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jon Flanagan,2015-2016,Liverpool,5,5,420,4.7,0,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.21,0.21,0.0,0.21,0.0,0.0,0.0,0.0,0.0
Darren Fletcher,2015-2016,West Brom,38,38,3374,37.5,1,3,4,1,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.03,0.08,0.11,0.03,0.11,0.0,0.0,0.0,0.0,0.0
Steven Fletcher,2015-2016,Sunderland,16,11,1010,11.2,4,0,4,4,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.36,0.0,0.36,0.36,0.36,0.0,0.0,0.0,0.0,0.0
José Fonte,2015-2016,Southampton,37,37,3166,35.2,2,1,3,2,0,0,4,1,0.0,0.0,0.0,0.0,0,0,0.06,0.03,0.09,0.06,0.09,0.0,0.0,0.0,0.0,0.0
Fraser Forster,2015-2016,Southampton,18,18,1620,18.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Foster,2015-2016,West Brom,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Timothy Fosu-Mensah,2015-2016,Manchester Utd,8,2,257,2.9,0,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.35,0.35,0.0,0.35,0.0,0.0,0.0,0.0,0.0
Simon Francis,2015-2016,Bournemouth,38,38,3387,37.6,0,4,4,0,0,0,5,1,0.0,0.0,0.0,0.0,0,0,0.0,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0
Christian Fuchs,2015-2016,Leicester City,32,30,2711,30.1,0,4,4,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.13,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0
Jay Fulton,2015-2016,Swansea City,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ramiro Funes Mori,2015-2016,Everton,28,24,2194,24.4,4,1,5,4,0,0,4,1,0.0,0.0,0.0,0.0,0,0,0.16,0.04,0.21,0.16,0.21,0.0,0.0,0.0,0.0,0.0
Brendan Galloway,2015-2016,Everton,15,14,1220,13.6,0,1,1,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.07,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0
