player,season,team,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Kafoumba Coulibaly,2010-2011,Nice,34,33,2935,32.6,1,2,3,1,0,0,9,0,0.0,0.0,0.0,0.0,0,0,0.03,0.06,0.09,0.03,0.09,0.0,0.0,0.0,0.0,0.0
Ousmane Coulibaly,2010-2011,Brest,7,5,398,4.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grégory Coupet,2010-2011,Paris S-G,15,15,1293,14.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathieu Coutadeur,2010-2011,Monaco,18,11,965,10.7,1,0,1,1,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0.09,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0
Cris,2010-2011,Lyon,21,20,1783,19.8,1,0,1,1,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.05,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0
Pierrick Cros,2010-2011,Sochaux,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexandre Cuvillier,2010-2011,Nancy,25,17,1638,18.2,2,1,3,2,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.11,0.05,0.16,0.11,0.16,0.0,0.0,0.0,0.0,0.0
Omar Daf,2010-2011,Brest,28,28,2404,26.7,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stéphane Dalmat,2010-2011,Rennes,33,30,2458,27.3,2,2,4,2,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.07,0.07,0.15,0.07,0.15,0.0,0.0,0.0,0.0,0.0
Gaël Danic,2010-2011,Valenciennes,36,31,2626,29.2,9,6,15,9,0,0,6,0,0.0,0.0,0.0,0.0,0,0,0.31,0.21,0.51,0.31,0.51,0.0,0.0,0.0,0.0,0.0
Romain Danzé,2010-2011,Rennes,38,38,3362,37.4,1,1,2,1,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0.03,0.03,0.05,0.03,0.05,0.0,0.0,0.0,0.0,0.0
Filippos Darlas,2010-2011,Brest,2,2,159,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathieu Debuchy,2010-2011,Lille,35,35,3050,33.9,2,2,4,1,1,1,10,0,0.0,0.0,0.0,0.0,0,0,0.06,0.06,0.12,0.03,0.09,0.0,0.0,0.0,0.0,0.0
