player,season,team,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
David de Gea,2010-2011,Atlético Madrid,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Godín,2010-2011,Atlético Madrid,25,25,2236,24.8,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henok Goitom,2010-2011,Almería,26,8,865,9.6,1,1,2,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.1,0.1,0.21,0.1,0.21,0.0,0.0,0.0,0.0,0.0
Tiago Gomes,2010-2011,Hércules,28,25,2105,23.4,2,1,3,2,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.09,0.04,0.13,0.09,0.13,0.0,0.0,0.0,0.0,0.0
Ibai Gómez,2010-2011,Athletic Club,3,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrián González,2010-2011,Racing Sant,23,16,1311,14.6,0,2,2,0,0,1,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.14,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0
Álvaro González,2010-2011,Racing Sant,3,3,261,2.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carmelo González,2010-2011,Sporting Gijón,18,9,915,10.2,0,1,1,0,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Iván González,2010-2011,Málaga,6,4,326,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikel González,2010-2011,Real Sociedad,32,30,2671,29.7,0,1,1,0,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0
Nacho González,2010-2011,Levante,3,2,117,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Esteban Granero,2010-2011,Real Madrid,19,8,784,8.7,1,2,3,1,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0.11,0.23,0.34,0.11,0.34,0.0,0.0,0.0,0.0,0.0
Antoine Griezmann,2010-2011,Real Sociedad,37,34,2832,31.5,7,2,9,7,0,0,7,0,0.0,0.0,0.0,0.0,0,0,0.22,0.06,0.29,0.22,0.29,0.0,0.0,0.0,0.0,0.0
Vicente Guaita,2010-2011,Valencia,21,19,1795,19.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrés Guardado,2010-2011,La Coruña,20,18,1469,16.3,2,2,4,0,2,2,4,0,0.0,0.0,0.0,0.0,0,0,0.12,0.12,0.25,0.0,0.12,0.0,0.0,0.0,0.0,0.0
Tiberio Guarente,2010-2011,Sevilla,7,3,310,3.4,0,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.29,0.29,0.0,0.29,0.0,0.0,0.0,0.0,0.0
Marcos Gullón,2010-2011,Villarreal,1,1,68,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Gurpegui,2010-2011,Athletic Club,31,28,2269,25.2,2,0,2,2,0,0,16,0,0.0,0.0,0.0,0.0,0,0,0.08,0.0,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0
Jonathan de Guzmán,2010-2011,Mallorca,33,33,2855,31.7,5,5,10,4,1,1,6,1,0.0,0.0,0.0,0.0,0,0,0.16,0.16,0.32,0.13,0.28,0.0,0.0,0.0,0.0,0.0
Henrique,2010-2011,Racing Sant,35,35,3078,34.2,2,1,3,2,0,0,8,1,0.0,0.0,0.0,0.0,0,0,0.06,0.03,0.09,0.06,0.09,0.0,0.0,0.0,0.0,0.0
Iván Hernández,2010-2011,Sporting Gijón,25,24,2167,24.1,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pablo Hernández,2010-2011,Valencia,27,20,1769,19.7,5,6,11,5,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.25,0.31,0.56,0.25,0.56,0.0,0.0,0.0,0.0,0.0
Ander Herrera,2010-2011,Zaragoza,33,30,2604,28.9,2,2,4,2,0,0,13,2,0.0,0.0,0.0,0.0,0,0,0.07,0.07,0.14,0.07,0.14,0.0,0.0,0.0,0.0,0.0
Cristian Hidalgo,2010-2011,Hércules,19,2,613,6.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gonzalo Higuaín,2010-2011,Real Madrid,17,16,1285,14.3,10,5,15,10,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.7,0.35,1.05,0.7,1.05,0.0,0.0,0.0,0.0,0.0
Vicente Iborra,2010-2011,Levante,16,14,1261,14.0,0,0,0,0,0,0,9,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akihiro Ienaga,2010-2011,Mallorca,14,3,472,5.2,2,0,2,2,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.38,0.0,0.38,0.38,0.38,0.0,0.0,0.0,0.0,0.0
Diego Ifrán,2010-2011,Real Sociedad,10,3,332,3.7,2,0,2,2,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.54,0.0,0.54,0.54,0.54,0.0,0.0,0.0,0.0,0.0
Asier Illarramendi,2010-2011,Real Sociedad,3,2,190,2.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrés Iniesta,2010-2011,Barcelona,34,32,2786,31.0,8,4,12,8,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.26,0.13,0.39,0.26,0.39,0.0,0.0,0.0,0.0,0.0
Natxo Insa,2010-2011,Villarreal,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gorka Iraizoz,2010-2011,Athletic Club,37,37,3330,37.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andoni Iraola,2010-2011,Athletic Club,37,37,3289,36.5,4,6,10,2,2,2,6,0,0.0,0.0,0.0,0.0,0,0,0.11,0.16,0.27,0.05,0.22,0.0,0.0,0.0,0.0,0.0
Isco,2010-2011,Valencia,4,0,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ander Iturraspe,2010-2011,Athletic Club,17,5,564,6.3,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Jakobsen,2010-2011,Almería,16,14,1201,13.3,0,1,1,0,0,0,4,1,0.0,0.0,0.0,0.0,0,0,0.0,0.07,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0
Jiří Jarošík,2010-2011,Zaragoza,36,36,3197,35.5,3,0,3,3,0,0,6,1,0.0,0.0,0.0,0.0,0,0,0.08,0.0,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0
Jesús,2010-2011,Real Madrid,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joaquín,2010-2011,Valencia,30,24,2069,23.0,4,6,10,4,0,0,6,0,0.0,0.0,0.0,0.0,0,0,0.17,0.26,0.43,0.17,0.43,0.0,0.0,0.0,0.0,0.0
Jonas,2010-2011,Valencia,13,8,683,7.6,3,4,7,3,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.4,0.53,0.92,0.4,0.92,0.0,0.0,0.0,0.0,0.0
Rafa Jordà,2010-2011,Levante,17,7,748,8.3,2,0,2,2,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0.24,0.0,0.24,0.24,0.24,0.0,0.0,0.0,0.0,0.0
Joselu,2010-2011,Real Madrid,1,0,7,0.1,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,12.86,0.0,0.0,12.86,0.0,0.0,0.0,0.0,0.0,0.0
Josetxo,2010-2011,Osasuna,9,6,583,6.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juanfran,2010-2011,Osasuna,18,18,1544,17.2,1,2,3,1,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.06,0.12,0.17,0.06,0.17,0.0,0.0,0.0,0.0,0.0
Juanfran,2010-2011,Levante,23,22,1912,21.2,0,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juanfran,2010-2011,Atlético Madrid,15,5,600,6.7,1,2,3,1,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.15,0.3,0.45,0.15,0.45,0.0,0.0,0.0,0.0,0.0
Juanito,2010-2011,Málaga,6,5,472,5.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juanito,2010-2011,Almería,9,5,487,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juankar,2010-2011,Real Madrid,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juanlu,2010-2011,Levante,30,28,2292,25.5,3,6,9,3,0,0,8,0,0.0,0.0,0.0,0.0,0,0,0.12,0.24,0.35,0.12,0.35,0.0,0.0,0.0,0.0,0.0
Juanmi,2010-2011,Málaga,17,6,604,6.7,4,2,6,4,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.6,0.3,0.89,0.6,0.89,0.0,0.0,0.0,0.0,0.0
Juanra,2010-2011,Hércules,14,13,1195,13.3,0,1,1,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.0,0.08,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Juca,2010-2011,La Coruña,8,1,221,2.5,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.41,0.41,0.0,0.41,0.0,0.0,0.0,0.0,0.0
Kaká,2010-2011,Real Madrid,14,11,802,8.9,7,4,11,5,2,2,0,0,0.0,0.0,0.0,0.0,0,0,0.79,0.45,1.23,0.56,1.01,0.0,0.0,0.0,0.0,0.0
Carlos Kameni,2010-2011,Espanyol,33,33,2970,33.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frédéric Kanouté,2010-2011,Sevilla,28,19,1891,21.0,12,3,15,9,3,4,6,0,0.0,0.0,0.0,0.0,0,0,0.57,0.14,0.71,0.43,0.57,0.0,0.0,0.0,0.0,0.0
Seydou Keita,2010-2011,Barcelona,35,15,1558,17.3,3,2,5,3,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0.17,0.12,0.29,0.17,0.29,0.0,0.0,0.0,0.0,0.0
Kevin,2010-2011,Mallorca,19,18,1583,17.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sami Khedira,2010-2011,Real Madrid,25,20,1849,20.5,0,1,1,0,0,0,7,0,0.0,0.0,0.0,0.0,0,0,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0
Koke,2010-2011,Atlético Madrid,17,8,842,9.4,2,0,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.21,0.0,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0
Arouna Koné,2010-2011,Sevilla,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
